time,count,positive,neutral,negative
1359932400,828,92,708,28
1359932700,697,76,585,36
1359933000,648,93,538,17
1359933300,727,84,597,46
1359933600,1047,113,878,56
1359933900,719,78,605,36
1359934200,575,58,499,18
1359934500,428,45,357,26
1359934800,305,31,259,15
1359935100,406,45,343,18
1359935400,381,39,318,24
1359935700,378,45,313,20
1359936000,347,40,289,18
1359936300,335,51,263,21
1359936600,319,38,270,11
1359936900,385,41,322,22
1359937200,240,23,204,13
1359937500,259,29,224,6
1359937800,245,28,203,14
1359938100,225,37,174,14
1359938400,197,28,155,14
1359938700,285,43,237,5
1359939000,191,23,157,11
1359939300,201,26,167,8
1359939600,219,36,172,11
1359939900,272,34,227,11
1359940200,544,49,464,31
1359940500,747,66,650,31
1359940800,591,79,475,37
1359941100,269,39,212,18
1359941400,161,21,130,10
1359941700,167,18,139,10
1359942000,234,15,199,20
1359942300,223,12,196,15
1359942600,209,18,168,23
1359942900,176,13,145,18
1359943200,189,18,157,14
1359943500,171,17,131,23
1359943800,173,17,144,12
1359944100,196,20,153,23
1359944400,177,21,140,16
1359944700,207,22,173,12
1359945000,132,14,107,11
1359945300,106,7,93,6
1359945600,160,13,130,17
1359945900,117,11,99,7
1359946200,111,8,97,6
1359946500,136,16,112,8
1359946800,167,21,131,15
1359947100,113,9,95,9
1359947400,111,16,91,4
1359947700,106,12,89,5
1359948000,117,11,96,10
1359948300,119,13,100,6
1359948600,88,4,77,7
1359948900,64,3,57,4
1359949200,81,5,72,4
1359949500,117,20,88,9
1359949800,63,12,49,2
1359950100,52,8,42,2
1359950400,58,5,47,6
1359950700,77,14,56,7
1359951000,66,15,47,4
1359951300,69,17,48,4
1359951600,75,19,49,7
1359951900,85,20,60,5
